SITE,sample_number,HABITAT,DEPTH,VELOCITY
MIDDLE,1,RIFFLE,14,4.2
MIDDLE,2,RIFFLE,17,0.53
MIDDLE,3,RIFFLE,NA,NA
MIDDLE,4,RIFFLE,17,0.52
MIDDLE,5,RIFFLE,17,0.41
MIDDLE,6,RIFFLE,16,0.3
MIDDLE,7,RIFFLE,15,0.26
MIDDLE,8,RIFFLE,15,0.26
MIDDLE,9,RIFFLE,17,0.28
MIDDLE,10,RIFFLE,17,0.34
MIDDLE,11,RIFFLE,16,0.51
MIDDLE,12,RIFFLE,20,0.64
MIDDLE,13,RIFFLE,25,0.47
MIDDLE,1,RUN,25,0.25
MIDDLE,2,RUN,25,0.11
MIDDLE,3,RUN,23,0.27
MIDDLE,4,RUN,25,0.18
MIDDLE,5,RUN,22,0.14
MIDDLE,6,RUN,30,0.19
MIDDLE,7,RUN,21,0.22
MIDDLE,8,RUN,25,0.12
MIDDLE,9,RUN,30,0.16
MIDDLE,10,RUN,19,0.3
MIDDLE,11,RUN,29,0.53
MIDDLE,12,RUN,24,0.37
MIDDLE,13,RUN,28,0.35
MIDDLE,1,STREAM MARGIN,18,0.13
MIDDLE,2,STREAM MARGIN,11,0.1
MIDDLE,3,STREAM MARGIN,17,0.19
MIDDLE,4,STREAM MARGIN,16,0.12
MIDDLE,5,STREAM MARGIN,20,0.11
MIDDLE,6,STREAM MARGIN,18,0.16
MIDDLE,7,STREAM MARGIN,20,0.06
MIDDLE,8,STREAM MARGIN,23,0.1
MIDDLE,9,STREAM MARGIN,14,0.37
MIDDLE,10,STREAM MARGIN,17,0.12
MIDDLE,11,STREAM MARGIN,20,0.14
MIDDLE,12,STREAM MARGIN,NA,NA
MIDDLE,1,VEGETATION,9,0.06
MIDDLE,2,VEGETATION,16,0.08
MIDDLE,3,VEGETATION,13,0
MIDDLE,4,VEGETATION,12,0.1
MIDDLE,5,VEGETATION,7,0
MIDDLE,6,VEGETATION,10,0.01
MIDDLE,7,VEGETATION,8,0.05
MIDDLE,8,VEGETATION,10,0
MIDDLE,9,VEGETATION,10,0
MIDDLE,10,VEGETATION,8,0.1
MIDDLE,11,VEGETATION,11,0.12
MIDDLE,12,VEGETATION,10,0.1
MIDDLE,13,VEGETATION,16,0.19
MIDDLE,1,POOL,69,0
MIDDLE,2,POOL,60,0.11
MIDDLE,3,POOL,57,0.14
MIDDLE,4,POOL,57,0.08
MIDDLE,5,POOL,51,0.01
MIDDLE,6,POOL,62,0.05
MIDDLE,7,POOL,57,0.08
MIDDLE,8,POOL,32,0.16
MIDDLE,9,POOL,41,0
MIDDLE,10,POOL,56,0.13
MIDDLE,11,POOL,46,0
MIDDLE,12,POOL,54,0
MIDDLE,13,POOL,63,0.2
MIDDLE,1,BACKWATER,61,0
MIDDLE,2,BACKWATER,50,0
MIDDLE,3,BACKWATER,42,0
MIDDLE,4,BACKWATER,52,0
MIDDLE,5,BACKWATER,56,0
MIDDLE,6,BACKWATER,43,0
MIDDLE,7,BACKWATER,23,0
MIDDLE,8,BACKWATER,22,0
MIDDLE,9,BACKWATER,30,0
MIDDLE,10,BACKWATER,30,0
MIDDLE,11,BACKWATER,10,0
MIDDLE,12,BACKWATER,10,0
LOWER,1,RIFFLE,45,0.44
LOWER,2,RIFFLE,31,0.79
LOWER,3,RIFFLE,31,0.71
LOWER,4,RIFFLE,43,0.52
LOWER,5,RIFFLE,22,0.6
LOWER,6,RIFFLE,19,0.49
LOWER,7,RIFFLE,31,0.33
LOWER,8,RIFFLE,23,0.69
LOWER,9,RIFFLE,29,0.69
LOWER,10,RIFFLE,28,0.6
LOWER,11,RIFFLE,21,0.55
LOWER,12,RIFFLE,23,0.57
LOWER,13,RIFFLE,33,0.7
LOWER,1,RUN,24,0.31
LOWER,2,RUN,32,0.33
LOWER,3,RUN,42,0.44
LOWER,4,RUN,49,0.32
LOWER,5,RUN,47,0.34
LOWER,6,RUN,37,0.23
LOWER,7,RUN,34,0.36
LOWER,8,RUN,27,0.53
LOWER,9,RUN,30,0.23
LOWER,10,RUN,27,0.37
LOWER,11,RUN,37,0.35
LOWER,12,RUN,45,0.58
LOWER,1,BACKWATER,7,0
LOWER,2,BACKWATER,12,0
LOWER,3,BACKWATER,38,0
LOWER,4,BACKWATER,31,0
LOWER,5,BACKWATER,7,0
LOWER,6,BACKWATER,16,0
LOWER,7,BACKWATER,24,0.06
LOWER,8,BACKWATER,9,0
LOWER,9,BACKWATER,16,0
LOWER,10,BACKWATER,15,0
LOWER,11,BACKWATER,10,0
LOWER,12,BACKWATER,10,0
LOWER,1,STREAM MARGIN,25,0.13
LOWER,2,STREAM MARGIN,37,0.32
LOWER,3,STREAM MARGIN,26,0.31
LOWER,4,STREAM MARGIN,29,0.3
LOWER,5,STREAM MARGIN,39,0.26
LOWER,6,STREAM MARGIN,21,0.03
LOWER,7,STREAM MARGIN,17,0.06
LOWER,8,STREAM MARGIN,16,0.09
LOWER,9,STREAM MARGIN,24,0.08
LOWER,10,STREAM MARGIN,21,0.2
LOWER,11,STREAM MARGIN,15,0.07
LOWER,12,STREAM MARGIN,29,0.32
LOWER,1,VEGETATION,24,0
LOWER,2,VEGETATION,30,0.02
LOWER,3,VEGETATION,14,0.03
LOWER,4,VEGETATION,28,0.04
LOWER,5,VEGETATION,24,0.04
LOWER,6,VEGETATION,25,0.04
LOWER,7,VEGETATION,8,0
LOWER,8,VEGETATION,25,0.04
LOWER,9,VEGETATION,17,0
LOWER,10,VEGETATION,17,0
LOWER,11,VEGETATION,14,0.05
LOWER,1,POOL,66,0.18
LOWER,2,POOL,49,0.16
LOWER,3,POOL,53,0.22
LOWER,4,POOL,50,0.17
LOWER,5,POOL,69,0.22
LOWER,6,POOL,62,0.15
LOWER,7,POOL,53,0.17
LOWER,8,POOL,51,0.14
LOWER,9,POOL,61,0.14
LOWER,10,POOL,60,0.17
LOWER,11,POOL,77,0.2
LOWER,12,POOL,55,0.2
UPPER,1,RIFFLE,14,0.24
UPPER,2,RIFFLE,14,0.19
UPPER,3,RIFFLE,16,0.2
UPPER,4,RIFFLE,17,0.29
UPPER,5,RIFFLE,20,0.22
UPPER,6,RIFFLE,15,0.28
UPPER,7,RIFFLE,15,0.28
UPPER,8,RIFFLE,19,0.38
UPPER,9,RIFFLE,16,0.4
UPPER,10,RIFFLE,24,0.49
UPPER,11,RIFFLE,18,0.3
UPPER,12,RIFFLE,14,0.47
UPPER,13,RIFFLE,19,0.3
UPPER,1,RUN,31,0.08
UPPER,2,RUN,12,0.09
UPPER,3,RUN,14,0.05
UPPER,4,RUN,21,0.07
UPPER,5,RUN,19,0.08
UPPER,6,RUN,21,0.12
UPPER,7,RUN,21,0.31
UPPER,8,RUN,17,0.2
UPPER,9,RUN,22,0.18
UPPER,10,RUN,26,0.16
UPPER,11,RUN,27,0.09
UPPER,12,RUN,16,0.27
UPPER,13,RUN,25,0.12
UPPER,1,BACKWATER,12,0
UPPER,2,BACKWATER,6,0
UPPER,3,BACKWATER,6,0
UPPER,4,BACKWATER,4,0
UPPER,5,BACKWATER,32,0.02
UPPER,6,BACKWATER,39,0.04
UPPER,7,BACKWATER,31,0
UPPER,8,BACKWATER,34,0.03
UPPER,9,BACKWATER,36,0.05
UPPER,10,BACKWATER,10,0
UPPER,11,BACKWATER,12,0
UPPER,12,BACKWATER,10,0
UPPER,1,STREAM MARGIN,12,0
UPPER,2,STREAM MARGIN,10,0
UPPER,3,STREAM MARGIN,11,0.03
UPPER,4,STREAM MARGIN,21,0.02
UPPER,5,STREAM MARGIN,21,0.09
UPPER,6,STREAM MARGIN,13,0.09
UPPER,7,STREAM MARGIN,12,0.12
UPPER,8,STREAM MARGIN,14,0.11
UPPER,9,STREAM MARGIN,10,0.05
UPPER,10,STREAM MARGIN,15,0.03
UPPER,11,STREAM MARGIN,8,0
UPPER,12,STREAM MARGIN,15,0.06
UPPER,13,STREAM MARGIN,40,0.01
UPPER,1,VEGETATION,13,0
UPPER,2,VEGETATION,10,0
UPPER,3,VEGETATION,10,0
UPPER,4,VEGETATION,9,0
UPPER,5,VEGETATION,9,0
UPPER,6,VEGETATION,10,0.1
UPPER,7,VEGETATION,9,0.15
UPPER,8,VEGETATION,10,0.15
UPPER,9,VEGETATION,8,0
UPPER,10,VEGETATION,7,0
UPPER,11,VEGETATION,20,0
UPPER,12,VEGETATION,7,0
UPPER,13,VEGETATION,18,0
UPPER,1,POOL,20,0.04
UPPER,2,POOL,21,0.02
UPPER,3,POOL,15,0
UPPER,4,POOL,15,0
UPPER,5,POOL,40,0
UPPER,6,POOL,37,0.01
UPPER,7,POOL,22,0.02
UPPER,8,POOL,24,0.02
UPPER,9,POOL,45,0
UPPER,10,POOL,25,0.02
UPPER,11,POOL,23,0.05
UPPER,12,POOL,34,0.01
UPPER,13,POOL,40,0.01
